Emotion,Clean_content,Sentiment
worry,think son flu cause def cleaned stanky puke mess poor pumkpin,Negative
happiness,great oin amp cynthia happy dinner great cute little place bad oin got sick,Positive
worry,woman transfer impressions sexualmaternal threatening man weak,Negative
worry,bitten blood cat way rabies bacterin shots months wash cats home hate water,Negative
happiness,dude favorite sandwich place ummm pictures,Positive
worry,sad shin ae got marriedand wasnt alex,Negative
worry,sure tweet youre news abuzz tr knights leaving quotconfirmedquot today muy triste,Positive
sadness,ohh thursday exams day wednesday,Neutral
sadness,thinking excited guys realized sad,Negative
worry,goooood mooorning people sun definitly spring spring hail storm car dimples,Positive
sadness,love itsakey usb sticks gb australia,Positive
worry,fresh prince sleepy sleeps nightly routine got ta dmv early tmrw,Positive
worry,jealous mom talking want twittering making miss,Neutral
worry,cant sleepi thinking puppy played today,Neutral
worry,im suppposed sleep got amp got song stuck head quotyour jerk iknowquot blaahh,Positive
worry,month summer strawberry availble chennai markets,Negative
sadness,hiii im ipodi cant fall asleep,Neutral
sadness,dont wan na work tomorrow paid,Neutral
sadness,feels sad coz wasnt able play guys,Positive
worry,dropped mobile charged data data pack,Positive
sadness,darn allergies dont like time year problem,Neutral
worry,oh minute late oh,Negative
sadness,wanted come bz summer sure anymore teachers life summer sucks,Negative
worry,ahh big scary bug flying room,Negative
sadness,wish knew puts throughshe stole heart gave backand occasionally likes like look,Neutral
worry,nasty cough cant sick huge weekend ahead,Negative
sadness,early happy day birth case dont tired therapy today n taking medicine misshu love ya,Positive
sadness,allergies suck ducks nuts ltgt,Neutral
worry,died wait magic jack read,Positive
sadness,wonders karma points turned,Neutral
happiness,need pack cali cali waittt thinking glass wine order celebrate weekend vaca work morrow tho,Neutral
sadness,miserable feel like im gona cry sux,Negative
worry,nose stud fell cant find looks like ill head amsterdam today new,Positive
sadness,sigh im going bed dont feel right anymore,Positive
sadness,depressed watching think dance,Neutral
sadness,cross cause im stuck twiddling thumbs ugh,Neutral
worry,cant sleep im sore,Neutral
worry,achieving new appreciation xml build script painful cumbersome,Negative
worry,cant,Neutral
sadness,day working uni today sad times,Negative
worry,head hurts bad scream,Negative
worry,im tired airmatras broken im pain,Negative
worry,new work wellness challenge going committed check email pm failed day twice,Negative
worry,new blog post blog auto insuran found auto insurance policy expired careless meanw,Negative
worry,oh meni cant facecmon guys,Positive
worry,im showing age renewed tags week went got insurance renewal email today went dont wan na old,Negative
worry,sole supporter sole supporter,Neutral
worry,urgh stop guys,Neutral
sadness,missing husband want home,Neutral
sadness,miss puppy,Neutral
sadness,ive given pizza kids let fav hot ones,Positive
worry,reading tabloids peoples livesthinking im gon na baby leaves,Negative
sadness,yearling pet home died sad family,Negative
worry,got giant splinter stuck underneath finger nail today muppetsit hurt got aid time,Positive
sadness,hate change course fans life lt oh havent met rob went horribly wrong,Negative
worry,feeling sad reason,Negative
sadness,fuck new pain med odd warning actually applies cant chan displeased,Negative
sadness,uploaded new blog painful story year old man cried wanted die sad,Negative
worry,addicting kind curse night time everytime feel like making music,Positive
sadness,saw pics past thanksgiving sad grandma,Negative
worry,wont let,Neutral
sadness,took shift tomorrow dont feel like working right,Positive
sadness,money phone,Neutral
worry,spent night aampe er wife tangled wheels daughter amp hit deck dislocation amp fracture resulted,Negative
worry,days im ready visit torchwood theyve heard,Positive
sadness,bad red devils disappointing,Negative
sadness,ware se fast x xm ssd raid mhz iop hpt try adaptec ghz,Negative
worry,ate mandy forgive sorry dont wan na lose bff,Negative
worry,plane tickets expensive,Negative
worry,needs job badly,Negative
sadness,daaammmnnnnn wish,Neutral
worry,went di bella coffee roasters today asked job person needed speak holiday,Neutral
sadness,played parts voodoo village coop lost usual partner,Negative
sadness,bad friend,Negative
sadness,internet night er brill massive explosion end nearby gas works er standby,Neutral
sadness,pity comes lamb,Negative
sadness,im sorry hear optimist things better,Neutral
worry,people house know close doors,Neutral
worry,dont like possibility left brain hurting thing called vp shunt possible death,Neutral
sadness,cancel wow,Positive
worry,wants music profile dont money dont know write music dont know play instrument studio,Positive
sadness,yeahim sad quotravenclawquot account love account bits,Neutral
worry,hear helicopter flying house thats kind weird news headache booooo,Negative
worry,oh lt,Positive
happiness,took math test today day test teacher says bring calculator luke confident teacher decided calcs,Positive
happiness,omg concert awesome madrigals gave chills piecebrooks called alumni didnt,Positive
sadness,late nothin,Negative
worry,think vog making sicker think feeling slightly achy,Negative
worry,homework sux big time maths worst,Negative
sadness,wish things way beginning summer,Neutral
worry,downloaded new twitterfon update thinking fixing typing problem new tweets didnt,Positive
sadness,feel way guess matter memes,Neutral
happiness,cant minutes treadmill minutes today gon na minutes,Positive
worry,im sooooooooooooo confused,Negative
worry,work day,Neutral
happiness,chillin roomies cant wait zombie clwn cr gon na weeks,Neutral
worry,refunds retrieve accounts takes like week hoping thief doesnt use hacks permaban,Neutral
sadness,cute malay girl came seemy room rent sadly think guyfreind bit misleading disappointing lol,Positive
worry,super keen drive home rain additional concentration required dont wan na deal,Positive
worry,transport church wont making im crushed oh time assignments suppose throat hurts,Positive
worry,tried jumping trampoline like thud thud shouldnt eaten cookie,Neutral
sadness,everytime send email coach feel need practice shitty balls lol,Positive
sadness,pissing letting follow ericka,Neutral
sadness,going sleep peaceful wanted hear good night didnt happen good night,Positive
sadness,mums trying feel ebtter stopping voting adn winning shortstack cried,Negative
worry,forgot live jonas brothers facebook,Positive
sadness,havent seen muffin days,Positive
sadness,ill miss yall regards,Neutral
worry,admit im bit bummed wasnt friends walking today,Neutral
worry,twitter hacked,Neutral
sadness,found mj mouse flats djs course left size,Neutral
worry,dont want know know vhemt dont wed miss,Neutral
sadness,knoww things wont samee lt,Neutral
worry,omgness pm need beup early set garage sale starts wish said im beat,Positive
happiness,kno doooo yall partyin,Neutral
worry,okay twitter suddenly changed respond messages,Positive
worry,decided matter good hair looks curly doesnt justify burn curler hands covered suck,Positive
sadness,going sleep gon na fall asleep playing apps tmrw going suck,Neutral
worry,sprained ankle like badly tore stuffs hurts birthday weekend,Negative
sadness,cant believe metal gear solid song stolen im disappointed,Negative
sadness,wish left dead id need play,Positive
happiness,spilled beer leg wasted half beer home met cute girl good conversation,Positive
sadness,teeth head hurts,Neutral
sadness,hate rob zombie movies amp smell weed vommmm,Negative
worry,hope job cuz need apartment im drunk amp miss lil punkin tehe,Negative
worry,got home wanting read chaper breaking dawn cause dont want beover,Neutral
worry,need held gnite,Neutral
worry,hanging sam billy veronica going school tomorrow sam body shops dang car accidents,Neutral
sadness,arrested development sad,Negative
sadness,omg losing followers sad want daythats goal,Negative
sadness,feel deflated doggy,Negative
worry,wan na hair hows,Neutral
sadness,trash mac difficult things life pictures gone,Negative
sadness,im contacting paws philippines find quottigerquot new owner im sad love dog soo,Positive
sadness,got home wanting read chaper breaking dawn cause dont want,Neutral
worry,aww pray arroyo family,Positive
sadness,fuuudge movie store closed,Negative
sadness,alo sad quiet tonight,Negative
worry,answered dm sent need info,Neutral
worry,trying pilot season friday night lights oh gosh pass tissue,Positive
sadness,aw headed cancelled trip aussie,Neutral
worry,cystic lacrimal infectection eye face swollen hurts,Neutral
worry,didnt think caught,Neutral
sadness,sad christian lacroix file bankruptcy,Negative
sadness,dont feel good fuckkk,Positive
worry,looks like ill zoo,Neutral
worry,ohh poor girl ill email relying october mr,Negative
worry,bad times,Negative
sadness,dreaded dmv tomorrow,Neutral
happiness,english class working interactive orals,Neutral
worry,thank rec doesnt work,Neutral
worry,puppy gizmo hs haha growls look long pruple scar fingie,Positive
worry,dont know ima work tomorrow wit body dis sore ugh,Neutral
worry,im feeling pressure head kicks nasty headache im looking forward,Negative
sadness,taylor swift joe jonas looked good im kinda sad broke,Positive
worry,im suppose turn sentence outline research paper hour online neck hurts,Neutral
worry,lady way miscarriage prayer,Neutral
sadness,god want sleep,Neutral
worry,feel deflated doggy,Negative
sadness,found book starting real paperbound journal tonight annoying zit lip makes look like herpes,Negative
worry,feeling bad got bad news mum,Negative
sadness,dun wan na,Neutral
sadness,damn girl im ya got ta let know kit amp got flyer weekend iquotm,Negative
sadness,dbl booooooo sick flippin blows bahaha kno dont friends feel lame haha,Negative
worry,dont feel like working think tweet,Neutral
sadness,feels sick stomach idkk whyy,Negative
worry,vinerinimic special sau probabil un alt weekend pierdut,Positive
sadness,um thrown van yesterday taken er,Neutral
worry,got final table butwent dont think ill getting free seat,Positive
happiness,fb boring wan na sing right,Negative
sadness,link doesnt work,Neutral
worry,humpalow um ya think cell dying,Neutral
worry,day worksick bone,Neutral
worry,feel like im house arrest,Negative
worry,know shortage shells crabs use beach beach combers sad,Negative
happiness,new music wont sleep chapter die hurry,Positive
sadness,stupid tooooth hurts,Negative
sadness,computers broken broke laptop use phone ahh cause fucked order,Negative
worry,sad economy heard friend losing job sad reminder,Negative
worry,im starting feel panicky anxious bad happened cos like ages,Negative
worry,dog ran awayyy,Neutral
worry,im molar extracted swollen face numb toothache sinus pain,Negative
worry,know good rap songs need rapfun cd idea helllllpppp,Positive
sadness,im awake anybody awake wish lived fun happens im asleep,Positive
sadness,heehee love tired,Positive
worry,mobile phone refuses charge battery broken chargerrr booooo,Negative
worry,oh wish sign send let meet,Neutral
worry,hmmm thought u sleeping bad cant videos tomorrow night,Negative
sadness,morning sorry going early night bad news felt totally crap today new day,Negative
sadness,wish parents chinese school younger itll easier job,Positive
worry,jealous looks like schindlers list toronto,Neutral
enthusiasm,want tatt,Neutral
enthusiasm,need lot money tomorrow,Neutral
sadness,room makes sad,Negative
worry,nearly fell asleep jolted bed massive panic attack im sure sleep,Negative
sadness,oh fck completely forgot thirsty thursday oh gaga sucks,Negative
sadness,people wrong world blames people great world living shit,Positive
sadness,eww dislike,Neutral
worry,tactical mistake going city library buying milk knew ouch ouch ouch maybe good thing didnt try uni,Positive
sadness,sorry bout cat,Negative
worry,stomach feels like touching groundim,Positive
worry,sooo work little time,Positive
sadness,missed iron chef,Neutral
sadness,ds version sucks,Negative
sadness,bad day,Negative
enthusiasm,know ridiculous got hang love chicago want shopping trip sounds like fun,Positive
worry,ugh internet,Negative
worry,feeling giddy wan na home,Neutral
worry,packing day youth camp,Neutral
worry,somebody save polar bears,Negative
happiness,noooooooooooo look lot pictures lol lol,Positive
worry,come attention yo friend ive recently gained ton weight didnt know,Neutral
worry,guess im staying home tonightno movieing,Neutral
sadness,went cd store search cd,Neutral
worry,reminds weather month ago horrible hope hugs,Negative
sadness,miss mom quotmay angels lead inquot,Neutral
sadness,feel way day,Neutral
sadness,cant sleep sucks day sleep shopping mom ugh,Negative
sadness,sleppytime missing godfather right love wayne,Positive
sadness,headache right sucks,Negative
worry,hope ya sleepin guys,Neutral
sadness,lakers baby lakers ill miss game tmwr work youll posted,Negative
sadness,comfort food day pan mee didnt taste good,Positive
worry,damn drunk hot sucks,Negative
sadness,misses baby,Neutral
worry,sleeping paperwork,Neutral
worry,showered icecold water sweating means thing im sick,Negative
worry,midnight cry wish person wanted wanted right,Positive
sadness,im poorly cant sleep,Negative
worry,went pole class feeling discouraged hopeless cones dancing sexy moves spreading legs,Positive
worry,poor unfortunate souls dont appear pants,Negative
worry,told wash hair speak,Neutral
worry,looks like sleepless night dedicated homework sorry advance ms chapman,Negative
worry,u lot mock,Neutral
worry,didnt goodnight,Neutral
sadness,work tom,Neutral
sadness,today goodbye second good friend week dmp sun shinning im definately working pm,Positive
anger,fuckinm transtelecom,Neutral
worry,met stranger min ago stalking store,Neutral
sadness,things hurt ones love unintentionally fix,Positive
sadness,sucks,Negative
sadness,fever dont feel work,Neutral
worry,taking horse pills hoping sleep tonight,Neutral
sadness,missing days cant pass quick,Positive
sadness,working home today killing doctor physio later today,Neutral
happiness,demi hi replay love,Positive
worry,looks like going nice work today annoying choice,Negative
worry,desperatly hoping dad takes vanessas game,Negative
worry,hi fuck job,Negative
sadness,missing deeply,Negative
happiness,big vanessa going september going fast hard cuz im workin miss alot,Positive
sadness,sniff sniff care ravels hopefully chatting soon mean time ill hella miss,Negative
worry,somebody save polar bears,Negative
worry,nose runny head pounding teeth hurt like bitch man feel awful,Negative
sadness,dont want leave,Neutral
happiness,good lord seen agency work upcoming open day money jam,Positive
anger,working fridaaaayyyyy,Neutral
worry,grove drag hell hope doesnt suck,Negative
worry,feel like shit saying happy belated birfdayy im month late,Positive
sadness,lmaothats sad kinda discourages rom goin shits wack,Negative
sadness,wish,Neutral
sadness,miss little batty months old got sick fun life lt end,Positive
sadness,morning hate mornings offensive,Negative
sadness,bed bed bed answer texts anymore thought day sent heard sad day,Negative
sadness,waah longer peeps,Neutral
sadness,lol wow dawg doesnt sound like youre playing feel bad haha,Positive
happiness,little foster kittens getting bigchubba winston going b missed amazing homes,Positive
enthusiasm,week till exam block,Neutral
worry,hoping didnt fail english sad,Negative
worry,know great shoulder stop hurting sleep normal wantneed solid hours good sleep,Positive
sadness,im sorry bad driving experiences,Negative
sadness,misses,Neutral
worry,knew shouldve worn sars mask plane socal feeling beginnings sore throat,Neutral
sadness,gutted bathroom isnt free early work isnt going happen need loo,Positive
worry,awww wish im stuck jab eyes knitting needles,Positive
enthusiasm,stop talkin food haha fill like sum nw hha hows day goin starting,Positive
worry,finished sewing night uploading pictures slidebar beach cant believe difficulties twitter,Neutral
sadness,thank cant wait ummm btw ima crash sick,Negative
sadness,work computer home laptop fucked,Negative
worry,guy calls phone number real ohh phone isnt working try tomorrow,Positive
worry,thirsty lonely buggers making feel like scotty mates,Negative
worry,know came st lose lead minutes,Negative
worry,gosh summer vacation philippines kinda sad wonder section,Negative
worry,im bummed cant wear sweet nike kicks work,Positive
worry,twitter broken,Negative
sadness,depressing im stuck inside day,Negative
worry,saw news feeds archie website cant believe hed choose veronica im disappointed,Negative
sadness,hate sick miss,Negative
happiness,getting ready school second maths test today day rd year week officially th year,Positive
sadness,woke upi wan na stay bed,Neutral
worry,depressed wasnt included morcom gardens quiz facebook,Neutral
worry,yeah totally high soooo notlooking forward aug sept,Positive
sadness,upsidedown tomato plants died,Neutral
worry,oh come week week exams,Positive
worry,know dont tell dont know dad told famz think im taking online,Neutral
sadness,caant iht earlier icant wait long ahar,Negative
happiness,friday yay bonus dont drive wales tonight athough miss kitten cuddles going ride,Neutral
worry,children promised birthday brekkie bed theres problem theres bugger food house,Neutral
worry,woops realized dms going,Neutral
enthusiasm,q studio created open season google look dvd downstairs feeling lazy,Negative
sadness,hate,Negative
sadness,wanted visit animals late,Negative
worry,pc agree problem stop spending work,Neutral
sadness,missed,Neutral
sadness,exhaustedcant sleep dont like nights,Neutral
sadness,im gon na miss live comet action tomorrow care cousins dont access interwebz,Positive
sadness,sorry hear,Negative
worry,morning sports day today threelegged race mr pettigrew said im aloud trip,Neutral
sadness,found cant drink bar booo missing e palominos cheers sad face,Negative
worry,sleep hours tossing turning,Neutral
worry,omg going die swine flu melbourne,Neutral
anger,packing dont like,Neutral
sadness,finished box ice cream,Positive
worry,plus deposited tax return cheque time years didnt clear immediately,Positive
worry,knooww amp hot water bottle iss whangamata ahhhhh,Positive
happiness,ok shoe club cool fun poppin ppl tryna dance wit,Positive
worry,holy crap raining la dont jacket oh,Negative
worry,wish attend e year small events like nba stanley cup finals getting way work work work,Negative
happiness,lol hi emmy latin help study aptitude tests grad school thats wan na,Positive
sadness,btw wimp,Neutral
worry,rejecting food substances,Neutral
worry,trying interview dr paul twomey ceo icann phone issues cut interview mins,Neutral
sadness,cant add myspace girly asks email,Neutral
worry,dont think needle watched horribly gory short film drugs months ago im scarred life,Negative
sadness,dont wan na work sleepy time,Neutral
worry,feels good,Negative
worry,thinking getting work,Neutral
worry,naughty girl tonight dissappointed,Negative
worry,thats better missy telling biggest loser,Positive
sadness,noooo goes orlando omg im gon na cry,Neutral
sadness,morning john yes diary clash sadly cant attend,Negative
sadness,miss friend,Neutral
sadness,yea saw sad commercial,Negative
sadness,hmmm tinytwitter small nontouch screen fun,Negative
worry,new lens isnt working worked bit gives fee error,Positive
sadness,hates sleep,Neutral
worry,school weekend oh wait got ta work tonight,Neutral
sadness,loved johnny carson im going hate seeing jay leno,Negative
sadness,wanted newish song teacher agreed old grumpy doesnt like happy haha,Positive
worry,english essay rampjwtf long time ago assigned thursday,Negative
worry,think,Positive
sadness,ya suffering day yesterday met dentist feel bit better look like rocky balboa,Positive
worry,didnt end eating snacks sigh,Positive
worry,sorry guys drop trip personal commitments,Negative
sadness,didnt callback play cried oh guess techie,Neutral
happiness,awesome wish fly,Positive
sadness,kinda wish went cant fall asleep,Neutral
worry,rocky cola diner whittier tonight teacher pal mr b great time chatting came,Positive
worry,ummm sooo yehits hard concentrate rite wen weird feeling goin thro body,Negative
worry,ouch looks painful,Negative
sadness,sorry,Negative
worry,want sit amp relax little difficult,Negative
worry,thought best friend,Positive
sadness,fall asleep know feels lol drag hell tonight excited,Positive
worry,god cant catch public transport swine flu shit house,Negative
worry,dad said trip uk cancelled da swine flu ooops sorry abang,Negative
happiness,la need lemon tree,Neutral
sadness,um dont think text msgs quotsubject linequot fail,Negative
sadness,tummy ache,Neutral
worry,youre far away dont know,Positive
happiness,whos working oh yeah,Neutral
sadness,im sorry andrew wish,Negative
sadness,finsh work allowd cauz dont want lol,Positive
sadness,im chasetons dont die heart sad,Negative
happiness,interesting recap tomorrow sleep work,Positive
worry,feels like hot box matter feels like hot box ice cream isnt working n e,Positive
worry,sad better grandma,Negative
worry,uuuugh hate,Negative
worry,gosh todays weather horriterrible extreme hotness im losing lot water weight,Negative
worry,taking moment reflecti want annonymity backfb safe friend,Positive
worry,aww annoying,Negative
sadness,cant sleep darn frustrating,Negative
sadness,days loneliness creeps slaps face,Neutral
sadness,rip kelly fucccccck,Neutral
worry,dont vacations lets,Neutral
worry,think im ignoredby best friend jakea hate ignored b know things,Positive
sadness,feeling good,Positive
sadness,ok time nodd gon na long day tomorrow saying goodbye car good,Positive
worry,taking nap workno sleep right nap felt soooo good like bad idea,Positive
worry,going home ive seriously,Negative
enthusiasm,counting minutes dads gfriend leaving,Neutral
sadness,miss oklahomaaaaa listening citizen cope til pass,Neutral
enthusiasm,fun miss guys lot,Positive
worry,makes sad,Negative
worry,feels like im going cough lung,Neutral
sadness,funny im kinda sad day,Negative
sadness,jenny fell asleep didnt come,Neutral
worry,love,Positive
sadness,wishes teased movie night,Neutral
worry,lost followers night likes,Neutral
sadness,ive missed year forbidden fruit trees garden munch disappointment,Negative
worry,want new phone ive seen cellphone commercials,Positive
worry,im soo sad edges pages gon na come cries,Negative
worry,time need shut im going sleep head aches badly cant,Negative
sadness,love knw gna cut stuff tv,Positive
sadness,im strict diet ugh feel like cheat day ill throw,Negative
worry,oh hubs sick hope dont catch,Negative
worry,ran money r sad panda,Negative
sadness,cal dachshund rescue found home foster pup max im soooooo sad leave,Negative
sadness,wow feel like ish feel bad ignorent aholes wont overturn prop,Negative
sadness,work finish pm booooo,Neutral
sadness,wishes hadnt teased movie night,Neutral
worry,got ta wiat till week btwyou mumbai,Neutral
sadness,maybe drinking feel massive hangover yself today,Neutral
worry,bad head ache gon na bed maybe bye bye,Negative
worry,friends travellers tales held farewell party kinda disappointed sep fault,Negative
enthusiasm,going die tomorrow night,Neutral
sadness,sleeping lost voice couple day ago,Neutral
sadness,sleepy earlier didnt matt,Neutral
worry,oh yeah im poorest person shouldnt joke poor people,Negative
sadness,realized spelled quotadorablequot wrong tweeted hate,Negative
worry,oh hope gets better,Positive
worry,crew dont dont think wrong number times,Negative
sadness,glowing face complexion pale,Negative
sadness,downloadfestivals lineup isnt good thought awesome bands festivals missing dl,Positive
worry,havent watched gossip girl ageeees need tree hill season god im slow,Negative
worry,early tomorrow heading bed saying im going midday nap hasnt happened week,Positive
worry,im sorry ya got ta let know ive booked week,Negative
happiness,hahaha oh man come pomona love everyday instead like year,Positive
worry,miss come michigan like nowi cant wait till july,Neutral
worry,farrrrr pdhpe assignment week english homework,Negative
worry,forgot access card cartoo lazy fetch,Negative
worry,hun okay alot posts exercising like madnot eating sleeping,Positive
sadness,oh tweetdeck malfunctioning il web fixd,Positive
sadness,im sorry sick u know know u guess quotpelzer presentquot,Negative
sadness,adam samberg new moon trailor good evening bad cable friday,Positive
worry,happened im afraid missed large story,Negative
worry,dell fx pcoverip audio device teradici giving hard time jaunty kernel isnt loading sndhdaintel drv,Negative
sadness,got ass kicked tripoly lol got bad cards suck,Positive
worry,sooo hot hufff,Positive
worry,closeness distance closeness distant,Negative
sadness,annnnnnddd bites dust,Neutral
worry,ahhhhh quotlet right inquot dvd broke,Positive
enthusiasm,hey loved acs online cant wait buy look amazing,Positive
worry,thoughts dwell certain person,Positive
worry,fml work uniform washing line,Neutral
worry,ohh shit realized talking b like dat times,Negative
sadness,nd written fuck ideas day day,Negative
worry,naw doesnt match lol shenanigans discuss thing,Positive
worry,unfortunately,Negative
worry,dude didnt know personal experience sorry like went,Negative
worry,aww randomly woke cant sleep things mind,Positive
worry,baby miss,Neutral
sadness,wish time xbox project tied,Neutral
worry,pancakes end soggy,Neutral
worry,big zongzi lunch ate work morework eat wh useless,Positive
worry,thoughts sense im sober,Positive
worry,cant sleep tomorrow wake early,Positive
worry,body developed mind mind refuses cooperate set schedules,Positive
sadness,trash repops getting tomorrow night suppose,Neutral
worry,nursing bruises motorbike crash wednesday night leaving london workplace ground harder older,Positive
worry,bored headache,Negative
sadness,feels like crap lays hate heartburn amp backaches,Negative
sadness,miss lonely,Negative
sadness,noice realised exams weeks forgot weeks unit term thing,Positive
sadness,missing,Negative
worry,build failed right big scheme things,Negative
worry,wife took mcdonalds breakfast today,Neutral
sadness,sisser moving tomorrow makes sad actually guess technically couple hours friday,Negative
worry,falling asleep im suppose awake miss babyy,Neutral
worry,way nottinghami dont want going,Neutral
worry,need wake earlier im actually tired fall asleep,Negative
sadness,sad,Negative
sadness,sick sigh,Negative
worry,oh poor beths friend im naughty im unperfect,Negative
sadness,feel weird,Negative
worry,seen tv dead like died grim reaper taking peoples souls accidents,Negative
worry,steam punlk fashion anime north year torcon arent til amp missed,Positive
sadness,throat hurts gon na read bed text mee,Neutral
worry,dying hangout friday afternoon,Neutral
worry,eh cold,Negative
sadness,fjdskal im frustrated,Negative
sadness,wondering come mcdonalds long deliver food,Negative
sadness,injustice imagine worse gets better afraid doubt sorry,Negative
sadness,soooim kind sick n tired bs guys dish,Negative
worry,class color day tomorrow time lot remember tomorrow bet ill forget,Neutral
sadness,idk lol head hurts rly bad amp stomach hmm personally think ive deal wit,Positive
worry,expensive,Negative
worry,misses twitastic fwiends,Neutral
worry,advice lookin phone cost relationship,Neutral
sadness,beautiful day shame ive got spend office,Positive
worry,oh know budgeting,Neutral
sadness,finished watching series return chasers war crap compared,Negative
sadness,wow realized havent checked twitter saw todo list good news got lot bad newsdont know day went,Positive
sadness,miss bestfriend left school,Negative
sadness,tummy hurts,Neutral
sadness,farewelling employee tonight,Neutral
worry,gorgeous weather bike,Positive
sadness,morning water heatings packed cant bath want bath,Positive
sadness,girls confusing,Negative
sadness,lyricallyme,Neutral
sadness,blackout city good,Negative
happiness,flights booked plus ggd st birthday cant miss especially missed ggd,Neutral
worry,drunk hickups pretty laid great night cant help mad situation,Negative
worry,think medicine cuz laughing hard head pain thought laughter gud,Negative
enthusiasm,boring wan na taekwando,Negative
enthusiasm,watching leno second time tonight,Neutral
worry,tongue hurts need sleep,Neutral
sadness,chris staying glasgow instead cause absolutely accomodation edinburgh marathon,Negative
sadness,sad tweets sad,Negative
worry,needs little lie feeling great today boo,Positive
sadness,decided cant stand alltop spam longer,Neutral
worry,anal sex forgot lube damn need er,Neutral
worry,playn madden austin im going miss,Neutral
sadness,miss rich,Positive
sadness,headache century coming feel fuck,Negative
sadness,disappointed know got silver award want gold award hate second best,Negative
worry,livechat saturday cus school weekdays,Neutral
worry,want bed child look sleep sunday enevitable hangover require,Neutral
worry,got mad tired sex sleepytime night,Negative
sadness,home ice cream tweetup tweetup pics camera battery died night forgot charge,Positive
worry,bye scotty im gon na miss ilylt,Neutral
worry,new comment jowki wish time blog,Positive
worry,temporary tattoo totally sad died,Negative
worry,gray feel neglected,Neutral
worry,oh know feel damn representative bank america tried sound like b,Positive
worry,tired cold runny,Negative
sadness,dun wan na travel way lunch yeah nice place missing shanepunjab,Positive
sadness,rob got lucky game beat,Negative
worry,save dont want pack anymore,Neutral
sadness,home school shitest day today,Neutral
worry,bruise knee hard skate tomorrow,Negative
sadness,lol went buy new laptop feb knew lol looked walked away sadfaced,Positive
sadness,sitting took good seats,Positive
worry,free wifi vacay ruined,Negative
sadness,ahhhhh im,Negative
sadness,oh wait wrong state,Negative
happiness,u missing ur frnds hear quotmanasellaam quot kulir degree movie amazing nanbargale miss u guys,Positive
worry,trying sleep pills working wide awake late ill sleep til pm,Negative
worry,phone die soon oh,Neutral
sadness,sorry mean,Negative
worry,forgot power cable home today,Neutral
worry,cant sleep cant find grandmothers quilt locket im sick cause lost stolen,Negative
worry,thought going pic clean car,Positive
worry,want im tampc says wan na exception,Positive
worry,amazing things keeping online conversations place unfortunately place google,Positive
sadness,sorry spanish moment,Negative
worry,yayyyyyyyyyyy thats sp far away,Positive
worry,public talk july got canceled dont know,Neutral
worry,feeling rough today want cuddle sleep,Negative
happiness,oh economy gotcha sorry happy got la enjoy socal ahahaay lol,Positive
worry,whered songs site want quotdo youquot computer,Neutral
sadness,flu pass unto andywent shopping got fresh chicken chicken soupbut dampd sat sad panda,Negative
sadness,,Neutral
sadness,oh hell way tell,Neutral
sadness,oh crap,Negative
happiness,carlie came fell asleep,Neutral
sadness,didnt msg bought princess,Negative
worry,puppy gone new home,Positive
sadness,im unhappy hate affecting relationships people personality attitude,Negative
sadness,theres right im tired dont want sleep cleaned pretty good proud id good janitor,Positive
worry,feeling extremally ill,Negative
sadness,oh im offended ha,Neutral
worry,quotmy tony heyquot poor tony,Negative
worry,time wish teenager wish feel healthy cant remember like feel healthy anymore,Positive
