Emotion,Clean_content
happiness,spilled beer leg wasted half beer home met cute girl good conversation
sadness,teeth head hurts
sadness,hate rob zombie movies amp smell weed vommmm
worry,hope job cuz need apartment im drunk amp miss lil punkin tehe
worry,got home wanting read chaper breaking dawn cause dont want beover
worry,need held gnite
worry,hanging sam billy veronica going school tomorrow sam body shops dang car accidents
sadness,arrested development sad
sadness,omg losing followers sad want daythats goal
sadness,feel deflated doggy
worry,wan na hair hows
sadness,trash mac difficult things life pictures gone
sadness,im contacting paws philippines find quottigerquot new owner im sad love dog soo
sadness,got home wanting read chaper breaking dawn cause dont want
worry,aww pray arroyo family
sadness,fuuudge movie store closed
sadness,alo sad quiet tonight
worry,answered dm sent need info
worry,trying pilot season friday night lights oh gosh pass tissue
sadness,aw headed cancelled trip aussie
worry,cystic lacrimal infectection eye face swollen hurts
worry,didnt think caught
sadness,sad christian lacroix file bankruptcy
sadness,dont feel good fuckkk
worry,looks like ill zoo
worry,ohh poor girl ill email relying october mr
worry,bad times
sadness,dreaded dmv tomorrow
happiness,english class working interactive orals
worry,thank rec doesnt work
worry,puppy gizmo hs haha growls look long pruple scar fingie
worry,dont know ima work tomorrow wit body dis sore ugh
worry,im feeling pressure head kicks nasty headache im looking forward
sadness,taylor swift joe jonas looked good im kinda sad broke
worry,im suppose turn sentence outline research paper hour online neck hurts
worry,lady way miscarriage prayer
sadness,god want sleep
worry,feel deflated doggy
sadness,found book starting real paperbound journal tonight annoying zit lip makes look like herpes
worry,feeling bad got bad news mum
sadness,dun wan na
sadness,damn girl im ya got ta let know kit amp got flyer weekend iquotm
sadness,dbl booooooo sick flippin blows bahaha kno dont friends feel lame haha
worry,dont feel like working think tweet
sadness,feels sick stomach idkk whyy
worry,vinerinimic special sau probabil un alt weekend pierdut
sadness,um thrown van yesterday taken er
worry,got final table butwent dont think ill getting free seat
happiness,fb boring wan na sing right
sadness,link doesnt work
worry,humpalow um ya think cell dying
worry,day worksick bone
worry,feel like im house arrest
worry,know shortage shells crabs use beach beach combers sad
happiness,new music wont sleep chapter die hurry
sadness,stupid tooooth hurts
sadness,computers broken broke laptop use phone ahh cause fucked order
worry,sad economy heard friend losing job sad reminder
worry,im starting feel panicky anxious bad happened cos like ages
worry,dog ran awayyy
worry,im molar extracted swollen face numb toothache sinus pain
worry,know good rap songs need rapfun cd idea helllllpppp
sadness,im awake anybody awake wish lived fun happens im asleep
sadness,heehee love tired
worry,mobile phone refuses charge battery broken chargerrr booooo
worry,oh wish sign send let meet
worry,hmmm thought u sleeping bad cant videos tomorrow night
sadness,morning sorry going early night bad news felt totally crap today new day
sadness,wish parents chinese school younger itll easier job
worry,jealous looks like schindlers list toronto
enthusiasm,want tatt
enthusiasm,need lot money tomorrow
sadness,room makes sad
worry,nearly fell asleep jolted bed massive panic attack im sure sleep
sadness,oh fck completely forgot thirsty thursday oh gaga sucks
sadness,people wrong world blames people great world living shit
sadness,eww dislike
worry,tactical mistake going city library buying milk knew ouch ouch ouch maybe good thing didnt try uni
sadness,sorry bout cat
worry,stomach feels like touching groundim
worry,sooo work little time
sadness,missed iron chef
sadness,ds version sucks
sadness,bad day
enthusiasm,know ridiculous got hang love chicago want shopping trip sounds like fun
worry,ugh internet
worry,feeling giddy wan na home
worry,packing day youth camp
worry,somebody save polar bears
happiness,noooooooooooo look lot pictures lol lol
worry,come attention yo friend ive recently gained ton weight didnt know
worry,guess im staying home tonightno movieing
sadness,went cd store search cd
worry,reminds weather month ago horrible hope hugs
sadness,miss mom quotmay angels lead inquot
sadness,feel way day
sadness,cant sleep sucks day sleep shopping mom ugh
sadness,sleppytime missing godfather right love wayne
sadness,headache right sucks
worry,hope ya sleepin guys
sadness,lakers baby lakers ill miss game tmwr work youll posted
sadness,comfort food day pan mee didnt taste good
worry,damn drunk hot sucks
sadness,misses baby
worry,sleeping paperwork
worry,showered icecold water sweating means thing im sick
worry,midnight cry wish person wanted wanted right
sadness,im poorly cant sleep
worry,went pole class feeling discouraged hopeless cones dancing sexy moves spreading legs
worry,poor unfortunate souls dont appear pants
worry,told wash hair speak
worry,looks like sleepless night dedicated homework sorry advance ms chapman
worry,u lot mock
worry,didnt goodnight
sadness,work tom
sadness,today goodbye second good friend week dmp sun shinning im definately working pm
anger,fuckinm transtelecom
worry,met stranger min ago stalking store
sadness,things hurt ones love unintentionally fix
sadness,sucks
sadness,fever dont feel work
worry,taking horse pills hoping sleep tonight
sadness,missing days cant pass quick
sadness,working home today killing doctor physio later today
happiness,demi hi replay love
worry,looks like going nice work today annoying choice
worry,desperatly hoping dad takes vanessas game
worry,hi fuck job
sadness,missing deeply
happiness,big vanessa going september going fast hard cuz im workin miss alot
sadness,sniff sniff care ravels hopefully chatting soon mean time ill hella miss
worry,somebody save polar bears
worry,nose runny head pounding teeth hurt like bitch man feel awful
sadness,dont want leave
happiness,good lord seen agency work upcoming open day money jam
anger,working fridaaaayyyyy
worry,grove drag hell hope doesnt suck
worry,feel like shit saying happy belated birfdayy im month late
sadness,lmaothats sad kinda discourages rom goin shits wack
sadness,wish
sadness,miss little batty months old got sick fun life lt end
sadness,morning hate mornings offensive
sadness,bed bed bed answer texts anymore thought day sent heard sad day
sadness,waah longer peeps
sadness,lol wow dawg doesnt sound like youre playing feel bad haha
happiness,little foster kittens getting bigchubba winston going b missed amazing homes
enthusiasm,week till exam block
worry,hoping didnt fail english sad
worry,know great shoulder stop hurting sleep normal wantneed solid hours good sleep
sadness,im sorry bad driving experiences
sadness,misses
worry,knew shouldve worn sars mask plane socal feeling beginnings sore throat
sadness,gutted bathroom isnt free early work isnt going happen need loo
worry,awww wish im stuck jab eyes knitting needles
enthusiasm,stop talkin food haha fill like sum nw hha hows day goin starting
worry,finished sewing night uploading pictures slidebar beach cant believe difficulties twitter
sadness,thank cant wait ummm btw ima crash sick
sadness,work computer home laptop fucked
worry,guy calls phone number real ohh phone isnt working try tomorrow
worry,thirsty lonely buggers making feel like scotty mates
worry,know came st lose lead minutes
worry,gosh summer vacation philippines kinda sad wonder section
worry,im bummed cant wear sweet nike kicks work
worry,twitter broken
sadness,depressing im stuck inside day
worry,saw news feeds archie website cant believe hed choose veronica im disappointed
sadness,hate sick miss
happiness,getting ready school second maths test today day rd year week officially th year
sadness,woke upi wan na stay bed
worry,depressed wasnt included morcom gardens quiz facebook
worry,yeah totally high soooo notlooking forward aug sept
sadness,upsidedown tomato plants died
worry,oh come week week exams
worry,know dont tell dont know dad told famz think im taking online
sadness,caant iht earlier icant wait long ahar
happiness,friday yay bonus dont drive wales tonight athough miss kitten cuddles going ride
worry,children promised birthday brekkie bed theres problem theres bugger food house
worry,woops realized dms going
enthusiasm,q studio created open season google look dvd downstairs feeling lazy
sadness,hate
sadness,wanted visit animals late
worry,pc agree problem stop spending work
sadness,missed
sadness,exhaustedcant sleep dont like nights
sadness,im gon na miss live comet action tomorrow care cousins dont access interwebz
sadness,sorry hear
worry,morning sports day today threelegged race mr pettigrew said im aloud trip
sadness,found cant drink bar booo missing e palominos cheers sad face
worry,sleep hours tossing turning
worry,omg going die swine flu melbourne
anger,packing dont like
sadness,finished box ice cream
worry,plus deposited tax return cheque time years didnt clear immediately
worry,knooww amp hot water bottle iss whangamata ahhhhh
happiness,ok shoe club cool fun poppin ppl tryna dance wit
worry,holy crap raining la dont jacket oh
worry,wish attend e year small events like nba stanley cup finals getting way work work work
happiness,lol hi emmy latin help study aptitude tests grad school thats wan na
sadness,btw wimp
worry,rejecting food substances
worry,trying interview dr paul twomey ceo icann phone issues cut interview mins
sadness,cant add myspace girly asks email
worry,dont think needle watched horribly gory short film drugs months ago im scarred life
sadness,dont wan na work sleepy time
worry,feels good
worry,thinking getting work
worry,naughty girl tonight dissappointed
worry,thats better missy telling biggest loser
sadness,noooo goes orlando omg im gon na cry
sadness,morning john yes diary clash sadly cant attend
sadness,miss friend
sadness,yea saw sad commercial
sadness,hmmm tinytwitter small nontouch screen fun
worry,new lens isnt working worked bit gives fee error
sadness,hates sleep
worry,school weekend oh wait got ta work tonight
sadness,loved johnny carson im going hate seeing jay leno
sadness,wanted newish song teacher agreed old grumpy doesnt like happy haha
worry,english essay rampjwtf long time ago assigned thursday
worry,think
sadness,ya suffering day yesterday met dentist feel bit better look like rocky balboa
worry,didnt end eating snacks sigh
worry,sorry guys drop trip personal commitments
sadness,didnt callback play cried oh guess techie
happiness,awesome wish fly
sadness,kinda wish went cant fall asleep
worry,rocky cola diner whittier tonight teacher pal mr b great time chatting came
worry,ummm sooo yehits hard concentrate rite wen weird feeling goin thro body
worry,ouch looks painful
sadness,sorry
worry,want sit amp relax little difficult
worry,thought best friend
sadness,fall asleep know feels lol drag hell tonight excited
worry,god cant catch public transport swine flu shit house
worry,dad said trip uk cancelled da swine flu ooops sorry abang
happiness,la need lemon tree
sadness,um dont think text msgs quotsubject linequot fail
sadness,tummy ache
worry,youre far away dont know
happiness,whos working oh yeah
sadness,im sorry andrew wish
sadness,finsh work allowd cauz dont want lol
sadness,im chasetons dont die heart sad
happiness,interesting recap tomorrow sleep work
worry,feels like hot box matter feels like hot box ice cream isnt working n e
worry,sad better grandma
worry,uuuugh hate
worry,gosh todays weather horriterrible extreme hotness im losing lot water weight
worry,taking moment reflecti want annonymity backfb safe friend
worry,aww annoying
sadness,cant sleep darn frustrating
sadness,days loneliness creeps slaps face
sadness,rip kelly fucccccck
worry,dont vacations lets
worry,think im ignoredby best friend jakea hate ignored b know things
sadness,feeling good
sadness,ok time nodd gon na long day tomorrow saying goodbye car good
worry,taking nap workno sleep right nap felt soooo good like bad idea
worry,going home ive seriously
enthusiasm,counting minutes dads gfriend leaving
sadness,miss oklahomaaaaa listening citizen cope til pass
enthusiasm,fun miss guys lot
worry,makes sad
worry,feels like im going cough lung
sadness,funny im kinda sad day
sadness,jenny fell asleep didnt come
worry,love
sadness,wishes teased movie night
worry,lost followers night likes
sadness,ive missed year forbidden fruit trees garden munch disappointment
worry,want new phone ive seen cellphone commercials
worry,im soo sad edges pages gon na come cries
worry,time need shut im going sleep head aches badly cant
sadness,love knw gna cut stuff tv
sadness,im strict diet ugh feel like cheat day ill throw
worry,oh hubs sick hope dont catch
worry,ran money r sad panda
sadness,cal dachshund rescue found home foster pup max im soooooo sad leave
sadness,wow feel like ish feel bad ignorent aholes wont overturn prop
sadness,work finish pm booooo
sadness,wishes hadnt teased movie night
worry,got ta wiat till week btwyou mumbai
sadness,maybe drinking feel massive hangover yself today
worry,bad head ache gon na bed maybe bye bye
worry,friends travellers tales held farewell party kinda disappointed sep fault
enthusiasm,going die tomorrow night
sadness,sleeping lost voice couple day ago
sadness,sleepy earlier didnt matt
worry,oh yeah im poorest person shouldnt joke poor people
sadness,realized spelled quotadorablequot wrong tweeted hate
worry,oh hope gets better
worry,crew dont dont think wrong number times
sadness,glowing face complexion pale
sadness,downloadfestivals lineup isnt good thought awesome bands festivals missing dl
worry,havent watched gossip girl ageeees need tree hill season god im slow
worry,early tomorrow heading bed saying im going midday nap hasnt happened week
worry,im sorry ya got ta let know ive booked week
happiness,hahaha oh man come pomona love everyday instead like year
worry,miss come michigan like nowi cant wait till july
worry,farrrrr pdhpe assignment week english homework
worry,forgot access card cartoo lazy fetch
worry,hun okay alot posts exercising like madnot eating sleeping
sadness,oh tweetdeck malfunctioning il web fixd
sadness,im sorry sick u know know u guess quotpelzer presentquot
sadness,adam samberg new moon trailor good evening bad cable friday
worry,happened im afraid missed large story
worry,dell fx pcoverip audio device teradici giving hard time jaunty kernel isnt loading sndhdaintel drv
sadness,got ass kicked tripoly lol got bad cards suck
worry,sooo hot hufff
worry,closeness distance closeness distant
sadness,annnnnnddd bites dust
worry,ahhhhh quotlet right inquot dvd broke
enthusiasm,hey loved acs online cant wait buy look amazing
worry,thoughts dwell certain person
worry,fml work uniform washing line
worry,ohh shit realized talking b like dat times
sadness,nd written fuck ideas day day
worry,naw doesnt match lol shenanigans discuss thing
worry,unfortunately
worry,dude didnt know personal experience sorry like went
worry,aww randomly woke cant sleep things mind
worry,baby miss
sadness,wish time xbox project tied
worry,pancakes end soggy
worry,big zongzi lunch ate work morework eat wh useless
worry,thoughts sense im sober
worry,cant sleep tomorrow wake early
worry,body developed mind mind refuses cooperate set schedules
sadness,trash repops getting tomorrow night suppose
worry,nursing bruises motorbike crash wednesday night leaving london workplace ground harder older
worry,bored headache
sadness,feels like crap lays hate heartburn amp backaches
sadness,miss lonely
sadness,noice realised exams weeks forgot weeks unit term thing
sadness,missing
worry,build failed right big scheme things
worry,wife took mcdonalds breakfast today
sadness,sisser moving tomorrow makes sad actually guess technically couple hours friday
worry,falling asleep im suppose awake miss babyy
worry,way nottinghami dont want going
worry,need wake earlier im actually tired fall asleep
sadness,sad
sadness,sick sigh
worry,oh poor beths friend im naughty im unperfect
sadness,feel weird
worry,seen tv dead like died grim reaper taking peoples souls accidents
worry,steam punlk fashion anime north year torcon arent til amp missed
sadness,throat hurts gon na read bed text mee
worry,dying hangout friday afternoon
worry,eh cold
sadness,fjdskal im frustrated
sadness,wondering come mcdonalds long deliver food
sadness,injustice imagine worse gets better afraid doubt sorry
sadness,soooim kind sick n tired bs guys dish
worry,class color day tomorrow time lot remember tomorrow bet ill forget
sadness,idk lol head hurts rly bad amp stomach hmm personally think ive deal wit
worry,expensive
worry,misses twitastic fwiends
worry,advice lookin phone cost relationship
sadness,beautiful day shame ive got spend office
worry,oh know budgeting
sadness,finished watching series return chasers war crap compared
sadness,wow realized havent checked twitter saw todo list good news got lot bad newsdont know day went
sadness,miss bestfriend left school
sadness,tummy hurts
sadness,farewelling employee tonight
worry,gorgeous weather bike
sadness,morning water heatings packed cant bath want bath
sadness,girls confusing
sadness,lyricallyme
sadness,blackout city good
happiness,flights booked plus ggd st birthday cant miss especially missed ggd
worry,drunk hickups pretty laid great night cant help mad situation
worry,think medicine cuz laughing hard head pain thought laughter gud
enthusiasm,boring wan na taekwando
enthusiasm,watching leno second time tonight
worry,tongue hurts need sleep
sadness,chris staying glasgow instead cause absolutely accomodation edinburgh marathon
sadness,sad tweets sad
worry,needs little lie feeling great today boo
sadness,decided cant stand alltop spam longer
worry,anal sex forgot lube damn need er
worry,playn madden austin im going miss
sadness,miss rich
sadness,headache century coming feel fuck
sadness,disappointed know got silver award want gold award hate second best
worry,livechat saturday cus school weekdays
worry,want bed child look sleep sunday enevitable hangover require
worry,got mad tired sex sleepytime night
sadness,home ice cream tweetup tweetup pics camera battery died night forgot charge
worry,bye scotty im gon na miss ilylt
worry,new comment jowki wish time blog
worry,temporary tattoo totally sad died
worry,gray feel neglected
worry,oh know feel damn representative bank america tried sound like b
worry,tired cold runny
sadness,dun wan na travel way lunch yeah nice place missing shanepunjab
sadness,rob got lucky game beat
worry,save dont want pack anymore
sadness,home school shitest day today
worry,bruise knee hard skate tomorrow
sadness,lol went buy new laptop feb knew lol looked walked away sadfaced
sadness,sitting took good seats
worry,free wifi vacay ruined
sadness,ahhhhh im
sadness,oh wait wrong state
happiness,u missing ur frnds hear quotmanasellaam quot kulir degree movie amazing nanbargale miss u guys
worry,trying sleep pills working wide awake late ill sleep til pm
worry,phone die soon oh
sadness,sorry mean
worry,forgot power cable home today
worry,cant sleep cant find grandmothers quilt locket im sick cause lost stolen
worry,thought going pic clean car
worry,want im tampc says wan na exception
worry,amazing things keeping online conversations place unfortunately place google
sadness,sorry spanish moment
worry,yayyyyyyyyyyy thats sp far away
worry,public talk july got canceled dont know
worry,feeling rough today want cuddle sleep
happiness,oh economy gotcha sorry happy got la enjoy socal ahahaay lol
worry,whered songs site want quotdo youquot computer
sadness,flu pass unto andywent shopping got fresh chicken chicken soupbut dampd sat sad panda
sadness,
sadness,oh hell way tell
sadness,oh crap
happiness,carlie came fell asleep
sadness,didnt msg bought princess
worry,puppy gone new home
sadness,im unhappy hate affecting relationships people personality attitude
sadness,theres right im tired dont want sleep cleaned pretty good proud id good janitor
worry,feeling extremally ill
sadness,oh im offended ha
worry,quotmy tony heyquot poor tony
worry,time wish teenager wish feel healthy cant remember like feel healthy anymore
sadness,version sold regular version
worry,dont ur anymore think
sadness,love havnt lunch like said miss friend
happiness,friends im deeply sorry im moving miss u
worry,damn listening
worry,omg yaya end year
worry,miss old healthy loosing faith
worry,gon na try catch zs high school tomorrow sucks wish
worry,rawr whatnot godawful drawing night tonight progress expected
happiness,suuure
worry,miss daily quotes dont anymore kicked mailinglist
sadness,aches amp chills joined party couldnt cold away worse
worry,wont b hereeeeee imma b georgia im la grrrrrr
worry,ohh sorry thats elses pic bad
worry,missed train secs yesterdaynight knijp jaap amp flashback sitting blisters know mean
worry,upppp lol work hours
sadness,bed stomach ache
worry,aint answer thought homies
worry,gnite fukn nite wanted sum pinga couldnt
sadness,lappy charger completely dead conserving whats left battery afford buy new
sadness,finally accepting fact cute guys taken
worry,finally watched rest guild season feel sorry hopeful time char
sadness,bad vo got sick think amp dont meds feel like
enthusiasm,day jay leno que sad
worry,spoke keith urbans record company cant till holidays sorry jack trying mate
worry,summer glau appear dollhouse year cant believe wont renew tscc
sadness,honza takes flight czech republic morning im going miss
worry,theres thought goldfish fair seen years
worry,thats sad thing
happiness,ah thats better snow patrol stuck indoors weekend coming fresh air excellent hope sunny
enthusiasm,good morning sexy twitter hows yall im gd like n wan na sleep
worry,oops corey saw tweet guess im getting laid tomorrow
worry,feels disappointedmahirap talaga magsupervise ng tao
worry,dont twitter help
happiness,early loads suns hurrah
happiness,babes sooo fun thank making happen fun ladies time went fast
sadness,matty le tired
worry,watching patients die tonight funk young
worry,aila cyclone left house calcutta broken sunshade balcony huge branch tree bathroom window
worry,guys paranoid drop countdown thats fair iv voted heaps
sadness,good night missing little girl
sadness,nite tweeple tomorrow day work
sadness,ahh man getting ready work wan na sleep
sadness,thinking thing love morning chats totally need live gether time lol
sadness,wish sri panwa
worry,whats im sad didnt text today
worry,wear glasses today cos right eye swollen dont know
worry,heard moving sydney year im happy
sadness,wants listen musiq soulchild ipod
worry,half math worksheet science wb pages worksheet english feels sniffle dry eyes coming
sadness,miss seeing fireflies
worry,chance sleeping midnight mind tired
worry,happy b home mind wanders cant sleep
worry,weebo dying
worry,cases swine flu
worry,hopfully quiet home cash u coming pub moz watch pups
worry,got flat way today pot hole thing tick quotcrap things happen weekquot list
sadness,hang health priority right hate seeing good people mistreated im genuinely sorry
worry,people pathetic u know trying
happiness,little family party tonight hope rocked
worry,complicated dream
sadness,awesome time gotmeet brandon rhyder unfortunatly cant sleep n tomorrow ole job got game face
sadness,feel pain
sadness,orw nooooooo want newcastle
sadness,bout watch notorious cause thats im feelin wish eat cant surgery tomorrow food til saturday
worry,meh didnt sleep aint finished im close cancel dokomi
worry,hospitals unnerve waiting doc flipping magazines
worry,awake migrane yey tummy hurting evil ibs
sadness,guys gon na tour short stack missed tour friend went said mad
worry,im litle oven tonight
worry,wow im reallly ill
sadness,im going miss miss suhana
sadness,sinks hospital toilets low crotch grey suit spattered water time physio
worry,mary hates wana walmart butno wants
worry,feeling sick
worry,face arms tragic seriously
worry,didnt send text
worry,damnit run candy coated books
worry,tummy hurts
sadness,life sam texted phuture tonight
sadness,sad leave beautiful apartment
sadness,ive trying think
worry,sitting school sucks
worry,ew creepy followers
worry,insomniaaaaaaa night trying sleep luck work
sadness,waiting bus miss car
sadness,says im dreaming nikon derrr ate kuya lang huhuh
worry,didnt reply wait till confirm case somebody translated
sadness,kind lonely answer phone
sadness,rest peace adam amp glenn epps gone forgotten week loud da air ya
worry,baby bros time singing school im proud old im
worry,happens models
worry,cant find skins stacks hills wdyt
worry,miss dont think hes coming
sadness,worst week things happen threes
worry,tummy hurts cubs game tomgoood night
sadness,im idiot missing
worry,come perth missed
worry,baby drunk brought home hour pass carried car
worry,vote mins im page
worry,cant find ipod
worry,yeahh yeah hifi lol grr dads pain said dont find cant
sadness,left left bed look
worry,finally bed packed got ta hours ready double shift work
worry,throat hurts cant sleep
worry,pulled muscle neck morning feels like getting sore
sadness,bike trail miss j teeth hopefully vacations suck
worry,babe
sadness,sadly bprohibiting tweeting tonight sorry
worry,raining hair gett gay
worry,aww youre going east coast againi havent seeen
worry,feeling bad goofin knowing wasnt meeting dang im sorry amp big ol mouth
sadness,oh man yogg today worse week
worry,miss u guys prob wont b bk til august sumtime come bk anytime b ill sure let u kno
worry,poorly sick baby girl
worry,worried mr socks tonight
worry,im straining hear hard way
sadness,unfair good rock shows happen blore pune
worry,birds oh man thats cool ampamp didnt sleep night
worry,worried reply sending sms
worry,whered
worry,oh good god crampsss
worry,working internet shop dont think achieve goal uploading previously set time going
happiness,miss concert tuesday id like time machine fun
worry,home early yeh work weekend happy big
sadness,cant sleep couldnt sleep night eather wabble wabble
worry,ok hubby isnt going logging anytime soon
happiness,hahaha yeah cant twitter
sadness,stay away home india dnt hav gud wireless internet im fucked
sadness,wookei accept psn friend request
worry,cant sound work dvd going watch mary poppins
sadness,leopold says hello
sadness,dad tv loud creeped cuz im dodgy neighbourhood bush
sadness,cant talk remembering said good thing fucking bully nasty pieces work arrrrgrrrrrr
worry,gon na iphone
sadness,stop
happiness,watching jay lenos nd tonight havent gone day leno like yearss
sadness,got home downtown dead plus im kinda weather got ta work tomorrow
